Area,code,name
Canterbury Region,155500,Manukau Central
Canterbury Region,155600,Papatoetoe East
Canterbury Region,155700,Otara South
Canterbury Region,155800,Ferguson
Canterbury Region,155900,Papatoetoe South West
Canterbury Region,156000,Botany Junction
Canterbury Region,156200,Papatoetoe South
Canterbury Region,156500,Puhinui North
Canterbury Region,156700,Puhinui South
Canterbury Region,156800,Rongomai West
Canterbury Region,157000,Puhinui East
Canterbury Region,157200,Rongomai East
Canterbury Region,157700,Clover Park North
Canterbury Region,157900,Clover Park South
Canterbury Region,161600,Takanini North
Canterbury Region,161700,Takanini Industrial
Canterbury Region,161800,Conifer Grove West
Canterbury Region,161900,Conifer Grove East
Canterbury Region,162000,Takanini West
Canterbury Region,162100,Takanini South
Canterbury Region,162200,Takanini Central
Canterbury Region,162500,Hingaia
Canterbury Region,162600,Takanini South East
Canterbury Region,162800,Papakura West
Canterbury Region,163000,Papakura North
Canterbury Region,163100,Pahurehure
Canterbury Region,163200,Papakura Central
Canterbury Region,163300,Papakura North East
Canterbury Region,163400,Karaka Lakes
Canterbury Region,163500,Papakura Kelvin
Canterbury Region,163600,Papakura Massey Park
Canterbury Region,163700,Rosehill
Canterbury Region,163900,Papakura East
Canterbury Region,164000,Opaheke
Canterbury Region,164100,Papakura Industrial
Canterbury Region,164200,Red Hill
Canterbury Region,164300,Drury
Wellington Region,139100,Wesley East
Wellington Region,139600,Lynfield North
Wellington Region,139700,Mount Roskill North
Wellington Region,139800,Mount Roskill White Swan
Wellington Region,140400,Mount Roskill Central North
Wellington Region,140600,Three Kings West
Wellington Region,140700,Mount Roskill Central South
Wellington Region,140900,Lynfield South
Wellington Region,141200,Three Kings East
Wellington Region,141300,Mount Roskill South
Wellington Region,141700,Epsom South
Wellington Region,142000,Hillsborough North (Auckland)
Wellington Region,142100,Hillsborough West (Auckland)
Wellington Region,142300,Waikowhai North
Wellington Region,142500,Waikowhai South
Wellington Region,142600,Royal Oak West (Auckland)
Wellington Region,142900,Hillsborough East (Auckland)
Wellington Region,143600,Hillsborough South (Auckland)
Wellington Region,137900,Wesley West
Wellington Region,138800,Wesley South
Waikato Region,110200,Okahukura Peninsula
Waikato Region,110400,Cape Rodney
Waikato Region,110500,Wellsford
Waikato Region,110700,South Head
Waikato Region,110800,Kaipara Hills
Waikato Region,110900,Dome Valley-Matakana
Waikato Region,111100,Warkworth West
Waikato Region,111200,Puhoi Valley
Waikato Region,111300,Warkworth East
Waikato Region,111400,Sandspit
Waikato Region,111500,Tawharanui Peninsula
Waikato Region,111600,Te Kuru
Waikato Region,111700,Snells Beach
Waikato Region,111900,Algies Bay-Scotts Landing
Waikato Region,112200,Parakai
Waikato Region,112300,Helensville Rural
Waikato Region,112400,Helensville
Waikato Region,112500,Waitoki
Waikato Region,112600,Waikoukou Valley
Waikato Region,113200,Waipatukahu
Waikato Region,113400,Dairy Flat North
Waikato Region,113500,Dairy Flat West
Waikato Region,113700,Riverhead Forest
Waikato Region,114200,Waimauku
Waikato Region,114500,Muriwai
Waikato Region,114700,Kumeu Rural West
Waikato Region,115000,Kumeu-Huapai
Waikato Region,115900,Riverhead
Waikato Region,116100,Kumeu Rural East
Waikato Region,116300,Paremoremo West
Waikato Region,116400,Taupaki
Waikato Region,112100,Wainui-Waiwera
Waikato Region,115300,Muriwai Valley-Bethells Beach
Waikato Region,115500,Coatesville
Waikato Region,115600,Dairy Flat South
Waikato Region,116600,Paremoremo East
Waikato Region,116700,Albany Heights
Waikato Region,116900,Fairview Heights
Waikato Region,117300,Albany Central
Waikato Region,117400,Albany West
Waikato Region,117600,Oteha East
Waikato Region,117800,Oteha West
Waikato Region,118100,Albany South
Waikato Region,118400,Schnapper Rock
Waikato Region,118500,Pinehill
Waikato Region,118600,North Harbour
Waikato Region,118900,Greenhithe West
Waikato Region,119100,Greenhithe East
Waikato Region,119200,Hobsonville
Waikato Region,119400,Greenhithe South
Waikato Region,119700,Windsor Park
Waikato Region,119900,Unsworth Heights West
Waikato Region,120200,Hobsonville Point
Waikato Region,120300,West Harbour Clearwater Cove
Waikato Region,120400,Unsworth Heights East
Waikato Region,120700,West Harbour Luckens Point
Waikato Region,117000,Whenuapai
Canterbury Region,144600,Oneroa West
Canterbury Region,146900,Oneroa East-Palm Beach
Canterbury Region,147600,Surfdale
Canterbury Region,148700,Ostend
Canterbury Region,151100,Onetangi
Canterbury Region,151700,Waiheke East
Waikato Region,114300,Gulf Islands
Waikato Region,117100,Waitakere Ranges North
Waikato Region,118000,Waitakere
Waikato Region,121100,Swanson Rural
Waikato Region,124100,Piha
Waikato Region,124700,Henderson Valley
Waikato Region,127600,Waiatarua
Waikato Region,128000,Waitakere Ranges South
Waikato Region,129000,Sunnyvale West-Parrs Park
Waikato Region,129600,Glen Eden West
Waikato Region,130000,Oratia
Waikato Region,130100,Glen Eden Rosier
Waikato Region,130800,Glen Eden North
Waikato Region,130900,Glen Eden Woodglen
Waikato Region,131500,Glen Eden Central
Waikato Region,132500,Konini
Waikato Region,134600,Waima-Woodlands Park
Waikato Region,134700,Kaurilands
Waikato Region,136700,Titirangi South
Waikato Region,137500,Laingholm
Waikato Region,120100,Birdwood West
Waikato Region,122000,Swanson
Wellington Region,129700,Herne Bay
Wellington Region,129800,Westmere North
Wellington Region,130200,Saint Marys Bay
Wellington Region,130300,Westmere South-Western Springs
Wellington Region,130400,Ponsonby West
Wellington Region,131200,Ponsonby East
Wellington Region,131300,Wynyard-Viaduct
Wellington Region,131600,Grey Lynn North
Wellington Region,131800,Freemans Bay
Wellington Region,132100,Grey Lynn West
Wellington Region,132400,Victoria Park
Wellington Region,132700,Hobson Ridge North
Wellington Region,132800,Grey Lynn Central
Wellington Region,133200,Queen Street
Wellington Region,133300,Quay Street-Customs Street
Wellington Region,133400,Hobson Ridge Central
Wellington Region,133500,Grey Lynn East
Wellington Region,133700,Shortland Street
Wellington Region,133800,Hobson Ridge South
Wellington Region,134100,Queen Street South West
Wellington Region,134300,Karangahape
Wellington Region,134500,Anzac Avenue
Wellington Region,134800,Auckland-University
Wellington Region,135100,Symonds Street North West
Wellington Region,135300,Symonds Street West
Wellington Region,135700,The Strand
Wellington Region,135900,Symonds Street East
Wellington Region,136100,Grafton
Wellington Region,136400,Parnell West
Wellington Region,137400,Parnell East
Wellington Region,138500,Newmarket
Wellington Region,136000,Eden Terrace
Wellington Region,128700,Rosebank Peninsula
Wellington Region,129500,Glendene South
Wellington Region,130500,Kelston North
Wellington Region,130600,Avondale Rosebank
Wellington Region,131000,Kelston South
Wellington Region,131700,Avondale West (Auckland)
Wellington Region,132000,Avondale North (Auckland)
Wellington Region,132300,New Lynn North
Wellington Region,132600,New Lynn North West
Wellington Region,132900,Fruitvale
Wellington Region,133100,Avondale Central (Auckland)
Wellington Region,133900,New Lynn Central
Wellington Region,134900,New Lynn Seabrook
Wellington Region,135000,Avondale South (Auckland)
Wellington Region,135400,West Lynn
Wellington Region,135600,New Lynn Central South
Wellington Region,136500,New Lynn South
Wellington Region,136600,New Windsor North
Wellington Region,137100,Glenavon
Wellington Region,137200,Blockhouse Bay North
Wellington Region,137300,Green Bay North
Wellington Region,138000,Green Bay South
Wellington Region,138600,Blockhouse Bay North East
Wellington Region,138900,Blockhouse Bay South
Wellington Region,139500,Blockhouse Bay East
Wellington Region,138300,New Windsor South
